customer_id,recency,frequency,monetary,avg_order_value,customer_lifespan_days,first_purchase_date,last_purchase_date,country
12346,326,1,77183.60,77183.600000000000,0,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom
12347,3,7,4310.00,615.7142857142857143,365,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland
12348,76,4,1797.24,449.3100000000000000,283,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland
12349,19,1,1757.55,1757.5500000000000000,0,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy
12350,311,1,334.40,334.4000000000000000,0,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway
12352,37,8,2506.04,313.2550000000000000,260,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway
12353,205,1,89.00,89.0000000000000000,0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain
12354,233,1,1079.40,1079.4000000000000000,0,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain
12355,215,1,459.40,459.4000000000000000,0,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain
12356,23,3,2811.43,937.1433333333333333,303,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal
12357,34,1,6207.67,6207.6700000000000000,0,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland
12358,2,2,1168.06,584.0300000000000000,149,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria
12359,58,4,6310.03,1577.5075000000000000,274,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus
12360,53,3,2662.06,887.3533333333333333,148,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria
12361,288,1,189.90,189.9000000000000000,0,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium
12362,4,10,5226.23,522.6230000000000000,292,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium
12363,110,2,552.00,276.0000000000000000,133,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified
12364,8,4,1313.10,328.2750000000000000,105,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium
12365,292,2,641.38,320.6900000000000000,0,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus
12367,5,1,168.90,168.9000000000000000,0,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark
12370,52,4,3541.94,885.4850000000000000,309,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus
12371,45,2,1887.96,943.9800000000000000,15,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland
12372,72,3,1298.04,432.6800000000000000,225,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark
12373,312,1,364.60,364.6000000000000000,0,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria
12374,26,1,742.93,742.9300000000000000,0,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria
12375,11,2,457.50,228.7500000000000000,88,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland
12377,316,2,1628.12,814.0600000000000000,39,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland
12378,130,1,4008.62,4008.6200000000000000,0,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland
12379,82,2,852.24,426.1200000000000000,89,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium
12380,22,4,2724.81,681.2025000000000000,164,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium
12381,5,5,1845.31,369.0620000000000000,115,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway
12383,185,5,1850.56,370.1120000000000000,168,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium
12384,29,2,585.27,292.6350000000000000,93,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland
12386,338,2,401.90,200.9500000000000000,29,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia
12388,16,6,2780.66,463.4433333333333333,311,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia
12390,80,1,549.84,549.8400000000000000,0,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium
12391,22,1,439.66,439.6600000000000000,0,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus
12393,73,4,1582.60,395.6500000000000000,260,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia
12394,64,2,1272.48,636.2400000000000000,154,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium
12395,20,12,3018.63,251.5525000000000000,352,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium
12397,36,2,2409.90,1204.9500000000000000,100,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium
12398,46,1,1635.66,1635.6600000000000000,0,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland
12399,120,4,1108.65,277.1625000000000000,142,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium
12401,304,1,84.30,84.3000000000000000,0,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium
12402,324,1,225.60,225.6000000000000000,0,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium
12403,50,1,427.70,427.7000000000000000,0,2011-10-21 10:51:00,2011-10-21 10:51:00,Denmark
12405,149,1,1710.39,1710.3900000000000000,0,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland
12406,23,2,3415.30,1707.6500000000000000,161,2011-06-09 10:23:00,2011-11-17 19:22:00,Denmark
12407,50,5,1708.12,341.6240000000000000,215,2011-03-20 13:21:00,2011-10-21 10:11:00,Belgium
12408,33,5,2888.55,577.7100000000000000,228,2011-03-24 14:46:00,2011-11-07 12:27:00,Belgium
12409,79,3,11072.67,3690.8900000000000000,104,2011-06-10 12:19:00,2011-09-22 10:38:00,Switzerland
12410,309,2,693.33,346.6650000000000000,0,2011-02-04 10:38:00,2011-02-04 10:39:00,Switzerland
12412,75,3,1226.88,408.9600000000000000,95,2011-06-23 13:51:00,2011-09-26 10:16:00,Denmark
12413,67,3,758.10,252.7000000000000000,271,2011-01-06 16:12:00,2011-10-04 09:00:00,France
12414,218,3,562.41,187.4700000000000000,93,2011-02-02 14:51:00,2011-05-06 14:51:00,Austria
12415,25,21,124914.53,5948.3109523809523810,313,2011-01-06 11:12:00,2011-11-15 14:22:00,Australia
12417,4,9,3649.10,405.4555555555555556,354,2010-12-17 11:51:00,2011-12-06 14:52:00,Belgium
12418,113,1,668.58,668.5800000000000000,0,2011-08-19 11:08:00,2011-08-19 11:08:00,Switzerland
12420,64,1,600.39,600.3900000000000000,0,2011-10-07 08:55:00,2011-10-07 08:55:00,Cyprus
12421,16,4,807.04,201.7600000000000000,304,2011-01-24 15:09:00,2011-11-24 09:07:00,Spain
12422,96,3,803.56,267.8533333333333333,229,2011-01-19 09:13:00,2011-09-05 09:48:00,Australia
12423,1,8,1859.31,232.4137500000000000,353,2010-12-21 10:54:00,2011-12-09 10:10:00,Belgium
12424,163,2,1760.96,880.4800000000000000,0,2011-06-30 12:06:00,2011-06-30 12:06:00,Australia
12425,79,1,777.20,777.2000000000000000,0,2011-09-22 17:31:00,2011-09-22 17:31:00,Portugal
12426,195,1,582.73,582.7300000000000000,0,2011-05-29 12:26:00,2011-05-29 12:26:00,Germany
12427,22,3,825.80,275.2666666666666667,350,2010-12-03 10:44:00,2011-11-18 08:56:00,Germany
12428,26,9,7956.46,884.0511111111111111,258,2011-03-01 09:33:00,2011-11-14 08:22:00,Finland
12429,10,4,3750.40,937.6000000000000000,356,2010-12-09 12:05:00,2011-11-30 17:22:00,Denmark
12430,44,1,256.40,256.4000000000000000,0,2011-10-27 15:09:00,2011-10-27 15:09:00,Norway
12431,36,15,6419.95,427.9966666666666667,338,2010-12-01 10:03:00,2011-11-04 11:55:00,Australia
12432,43,5,5059.32,1011.8640000000000000,130,2011-06-20 13:27:00,2011-10-28 11:43:00,Norway
12433,1,7,13375.87,1910.8385714285714286,373,2010-12-01 13:24:00,2011-12-09 10:02:00,Norway
12434,85,2,806.14,403.0700000000000000,176,2011-03-24 13:05:00,2011-09-16 12:38:00,Australia
12435,80,2,7829.89,3914.9450000000000000,188,2011-03-17 07:40:00,2011-09-21 09:06:00,Denmark
12436,100,1,509.01,509.0100000000000000,0,2011-09-01 12:09:00,2011-09-01 12:09:00,Norway
12437,2,18,4951.41,275.0783333333333333,330,2011-01-12 14:13:00,2011-12-08 11:35:00,France
12438,15,2,2906.85,1453.4250000000000000,126,2011-07-22 13:29:00,2011-11-25 13:28:00,Norway
12441,367,1,173.55,173.5500000000000000,0,2010-12-08 10:45:00,2010-12-08 10:45:00,France
12442,4,1,172.06,172.0600000000000000,0,2011-12-06 14:22:00,2011-12-06 14:22:00,Spain
12444,22,5,5005.46,1001.0920000000000000,150,2011-06-21 14:00:00,2011-11-18 13:23:00,Norway
12445,23,1,133.40,133.4000000000000000,0,2011-11-17 18:43:00,2011-11-17 18:43:00,Spain
12446,58,1,1002.31,1002.3100000000000000,0,2011-10-13 12:50:00,2011-10-13 12:50:00,RSA
12447,244,1,476.49,476.4900000000000000,0,2011-04-10 13:25:00,2011-04-10 13:25:00,Belgium
12448,45,1,449.45,449.4500000000000000,0,2011-10-26 13:46:00,2011-10-26 13:46:00,Spain
12449,23,4,4067.29,1016.8225000000000000,165,2011-06-05 15:37:00,2011-11-17 13:46:00,Belgium
12450,157,2,197.88,98.9400000000000000,17,2011-06-19 14:36:00,2011-07-06 14:41:00,Spain
12451,11,5,9035.52,1807.1040000000000000,314,2011-01-19 09:05:00,2011-11-29 08:40:00,Switzerland
12452,17,2,430.57,215.2850000000000000,0,2011-11-23 08:05:00,2011-11-23 10:28:00,Switzerland
12453,135,1,707.09,707.0900000000000000,0,2011-07-28 14:08:00,2011-07-28 14:08:00,Austria
12454,57,1,3528.34,3528.3400000000000000,0,2011-10-14 17:13:00,2011-10-14 17:13:00,Spain
12455,74,6,2466.86,411.1433333333333333,223,2011-02-16 09:56:00,2011-09-27 15:31:00,Spain
12456,45,3,3181.04,1060.3466666666666667,210,2011-03-30 09:12:00,2011-10-26 14:41:00,Switzerland
12457,67,7,2363.23,337.6042857142857143,173,2011-04-14 18:57:00,2011-10-04 13:13:00,Switzerland
12458,72,2,947.40,473.7000000000000000,213,2011-02-28 10:55:00,2011-09-29 15:25:00,Switzerland
12461,95,2,826.88,413.4400000000000000,60,2011-07-08 10:23:00,2011-09-06 16:57:00,Switzerland
12462,19,2,1189.59,594.7950000000000000,285,2011-02-09 14:44:00,2011-11-21 09:11:00,Spain
12463,54,4,1344.78,336.1950000000000000,188,2011-04-12 12:47:00,2011-10-17 13:44:00,Belgium
12464,11,8,1212.05,151.5062500000000000,299,2011-02-03 13:30:00,2011-11-29 13:33:00,Belgium
12465,18,2,742.19,371.0950000000000000,152,2011-06-23 13:37:00,2011-11-22 16:34:00,Belgium
12468,188,2,729.54,364.7700000000000000,129,2011-01-27 13:29:00,2011-06-05 11:36:00,Germany
12471,3,30,19788.65,659.6216666666666667,362,2010-12-10 09:35:00,2011-12-07 15:43:00,Germany
12472,33,7,6572.11,938.8728571428571429,337,2010-12-05 14:19:00,2011-11-07 14:01:00,Germany
12473,30,5,3928.05,785.6100000000000000,162,2011-06-01 10:15:00,2011-11-10 13:46:00,Germany
12474,18,18,7324.09,406.8938888888888889,312,2011-01-14 10:06:00,2011-11-22 14:39:00,Germany
12475,54,1,723.38,723.3800000000000000,0,2011-10-17 10:10:00,2011-10-17 10:10:00,Germany
12476,16,11,6816.42,619.6745454545454545,346,2010-12-13 14:39:00,2011-11-24 12:40:00,Germany
12477,23,6,13219.74,2203.2900000000000000,279,2011-02-11 12:45:00,2011-11-17 09:51:00,Germany
12478,4,1,680.99,680.9900000000000000,0,2011-12-06 09:56:00,2011-12-06 09:56:00,Greece
12479,12,1,527.20,527.2000000000000000,0,2011-11-28 13:26:00,2011-11-28 13:26:00,Germany
12480,29,4,3281.63,820.4075000000000000,308,2011-01-07 15:27:00,2011-11-11 14:52:00,Germany
12481,23,10,5579.82,557.9820000000000000,343,2010-12-09 10:13:00,2011-11-17 08:29:00,Germany
12483,18,8,2484.98,310.6225000000000000,322,2011-01-04 14:20:00,2011-11-22 17:02:00,Sweden
12484,33,6,4527.32,754.5533333333333333,304,2011-01-07 14:04:00,2011-11-07 11:37:00,Spain
12488,10,3,1298.66,432.8866666666666667,66,2011-09-25 10:34:00,2011-11-30 08:50:00,France
12489,337,1,334.93,334.9300000000000000,0,2011-01-07 13:13:00,2011-01-07 13:13:00,France
12490,6,10,5417.93,541.7930000000000000,324,2011-01-14 09:13:00,2011-12-04 16:07:00,France
12491,39,1,460.40,460.4000000000000000,0,2011-11-01 12:18:00,2011-11-01 12:18:00,France
12492,64,2,263.21,131.6050000000000000,42,2011-08-26 14:51:00,2011-10-07 15:15:00,Germany
12493,166,2,433.74,216.8700000000000000,32,2011-05-26 14:53:00,2011-06-27 10:17:00,France
12494,16,7,1246.10,178.0142857142857143,350,2010-12-09 11:31:00,2011-11-24 09:34:00,France
12497,82,1,1043.10,1043.1000000000000000,0,2011-09-19 12:29:00,2011-09-19 12:29:00,Germany
12498,22,3,403.70,134.5666666666666667,36,2011-10-13 09:30:00,2011-11-18 12:53:00,Germany
12500,24,11,4257.82,387.0745454545454545,310,2011-01-10 09:48:00,2011-11-16 16:20:00,Germany
