customer_id,recency,frequency,monetary,avg_order_value,customer_lifespan_days,first_purchase_date,last_purchase_date,country,Cluster,CLV,Segment
12346,326,1,77183.6,77183.6,0,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,3,0.0,Loyal Customers
12347,3,7,4310.0,615.7142857142857,365,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,0,4310.0,Potential Customers
12348,76,4,1797.24,449.31,283,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,0,1393.476493150685,Potential Customers
12349,19,1,1757.55,1757.55,0,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0,0.0,Potential Customers
12350,311,1,334.4,334.4,0,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,1,0.0,At Risk Customers
12352,37,8,2506.04,313.255,260,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,0,1785.1243835616438,Potential Customers
12353,205,1,89.0,89.0,0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,1,0.0,At Risk Customers
12354,233,1,1079.4,1079.4,0,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,1,0.0,At Risk Customers
12355,215,1,459.4,459.4,0,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,1,0.0,At Risk Customers
12356,23,3,2811.43,937.1433333333331,303,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,0,2333.87202739726,Potential Customers
12357,34,1,6207.67,6207.67,0,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0,0.0,Potential Customers
12358,2,2,1168.06,584.03,149,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,0,476.8244931506849,Potential Customers
12359,58,4,6310.03,1577.5075,274,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,0,4736.844438356165,Potential Customers
12360,53,3,2662.06,887.3533333333332,148,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,0,1079.4106301369861,Potential Customers
12361,288,1,189.9,189.9,0,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,1,0.0,At Risk Customers
12362,4,10,5226.23,522.623,292,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,0,4180.984,Potential Customers
12363,110,2,552.0,276.0,133,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,0,201.13972602739727,Potential Customers
12364,8,4,1313.1,328.275,105,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,0,377.7410958904109,Potential Customers
12365,292,2,641.38,320.69,0,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,1,0.0,At Risk Customers
12367,5,1,168.9,168.9,0,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0,0.0,Potential Customers
12370,52,4,3541.94,885.485,309,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,0,2998.519068493151,Potential Customers
12371,45,2,1887.96,943.98,15,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,0,77.58739726027397,Potential Customers
12372,72,3,1298.04,432.68,225,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,0,800.1616438356165,Potential Customers
12373,312,1,364.6,364.6,0,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,1,0.0,At Risk Customers
12374,26,1,742.93,742.93,0,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0,0.0,Potential Customers
12375,11,2,457.5,228.75,88,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,0,110.3013698630137,Potential Customers
12377,316,2,1628.12,814.06,39,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,1,173.96350684931505,At Risk Customers
12378,130,1,4008.62,4008.62,0,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0,0.0,Potential Customers
